               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071029,            0.024315,            0.066896,             0.18325,             0.44755,             0.22958,              0.1274,            0.021524,           0.0058718,            0.040695,            0.070123,           0.0033197,           0.0033197
                   1,            0.044014,            0.013671,            0.053937,             0.53407,             0.54644,             0.53711,             0.32709,            0.017924,           0.0042536,            0.028716,            0.039464,           0.0059944,           0.0059944
                   2,            0.043625,            0.013058,            0.046599,             0.53623,             0.52625,             0.55521,             0.31777,            0.022165,           0.0059213,            0.024375,           0.0081457,            0.008009,            0.008009
                   3,             0.04237,            0.012636,            0.038556,             0.74923,             0.81465,             0.86083,             0.54678,            0.019035,           0.0040687,             0.01367,             0.00703,             0.00703,             0.00703
                   4,             0.03851,            0.012069,            0.034214,             0.83281,             0.88479,             0.90665,             0.60955,            0.018616,           0.0037628,             0.01066,             0.00703,             0.00703,             0.00703
                   5,            0.036096,             0.01164,            0.030552,             0.90711,             0.92134,             0.96722,             0.71903,            0.014901,           0.0031138,           0.0067057,             0.00604,             0.00604,             0.00604
                   6,            0.035758,            0.011378,            0.029724,             0.94875,             0.94957,             0.97855,             0.73684,            0.013695,           0.0030231,           0.0050025,             0.00505,             0.00505,             0.00505
                   7,            0.032215,            0.010869,            0.026136,             0.95197,             0.96436,             0.98383,              0.7566,            0.013134,           0.0029283,           0.0043966,             0.00406,             0.00406,             0.00406
                   8,            0.030349,            0.010642,            0.025837,             0.96706,             0.98182,              0.9891,             0.80611,            0.011191,           0.0026625,           0.0031516,             0.00307,             0.00307,             0.00307
                   9,            0.028049,             0.01034,            0.024489,              0.9716,             0.97556,             0.98766,             0.83093,            0.010504,           0.0025404,           0.0028338,             0.00208,             0.00208,             0.00208
